,,,,,,,,,,,,,,
Disclaimers
• This is an analytics report and currently we support downloading top 8000 listings by sold quantity.
• This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.
• Any fees charged or credits applied to these listings outside this time range are not included in this report.
"• For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item."

"Report for Jan 1, 2022 to Dec 31, 2022"
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Ads Standard fees,Ads Advanced fees,Ads Express fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers,
"L.A. Noire (Microsoft Xbox 360, 2011) CIB / UNOPENED - FACTORY SEALED! ",394056159894,-,-,1,$15.89,$14.99,$0.00,$0.90,$0.00,$6.11,$0.00,$0.00,$2.35,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.76,$8.88,$15.89,0,0,0
Demon Slayer Kimetsu no Yaiba The Hinokami Chronicles PlayStation 5 PS5,394091279754,-,-,1,$29.07,$22.00,$0.00,$2.37,$4.70,$7.53,$0.00,$0.00,$4.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.48,$19.17,$29.07,0,1,0
Tony Hawk Pro Skater 1+2 - Sony PlayStation 5 Open Box Disc Brand New,394091285430,-,-,1,$26.01,$20.00,$0.00,$1.36,$4.65,$7.08,$0.00,$0.00,$3.66,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.42,$17.57,$26.01,0,0,0
Resident Evil 2 II Remake for Xbox One XBOX-ONE RE2 Resident Evil 2,394091288483,-,-,1,$21.05,$14.99,$0.00,$1.26,$4.80,$7.16,$0.00,$0.00,$3.02,$0.42,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.72,$12.63,$21.05,1,0,0
Sekiro: Shadows Die Twice - Microsoft Xbox One (Pre-Owned),394091292556,-,-,1,$28.50,$22.50,$0.00,$1.35,$4.65,$8.83,$0.00,$0.00,$3.98,$1.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.42,$18.32,$28.50,1,0,0
Vintage 1996 Zippo Lighter Railroad Express Train Logo New Seal In Case,394091300248,-,-,1,$35.00,$30.00,$0.00,$0.00,$5.00,$9.55,$0.00,$0.00,$4.82,$0.00,$0.00,$0.00,$0.58,$0.00,$0.00,$0.00,$4.15,$25.45,$35.00,0,0,0
"Genuine Zippo Lighter, 1994, Stargate - Ra Mask,  *** Retired*** NIB",394091304039,-,-,1,$39.46,$32.00,$0.00,$2.76,$4.70,$10.84,$0.00,$0.00,$5.39,$1.58,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.87,$25.86,$39.46,1,1,0
Barbie Horse Adventures Riding Camp - PS2 - Complete CIB - Excellent,394095450414,-,-,1,$13.04,$12.00,$0.00,$1.04,$0.00,$5.85,$0.00,$0.00,$1.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.87,$6.15,$13.04,0,0,0
The Toxic Avenger Troma 1985/1998 DVD Unrated Directors Cut Cult Classic,394095452166,-,-,1,$12.00,$12.00,$0.00,$0.00,$0.00,$6.01,$0.00,$0.00,$2.05,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$3.76,$5.99,$12.00,0,0,1
"Toy Story 2: Buzz Lightyear to the Rescue PS1 (PlayStation 1, 1999) COMPLETE CIB",394099339777,-,-,1,$24.99,$24.99,$0.00,$0.00,$0.00,$8.44,$0.00,$0.00,$3.52,$0.75,$0.00,$0.00,$0.41,$0.00,$0.00,$0.00,$3.76,$16.55,$24.99,1,0,0
